index_pos,feature_id,stat_id,category_id
22,average MFCCon_1,average,articulation
23,average MFCCon_2,average,articulation
24,average MFCCon_3,average,articulation
25,average MFCCon_4,average,articulation
26,average MFCCon_5,average,articulation
27,average MFCCon_6,average,articulation
28,average MFCCon_7,average,articulation
29,average MFCCon_8,average,articulation
30,average MFCCon_9,average,articulation
31,average MFCCon_10,average,articulation
32,average MFCCon_11,average,articulation
33,average MFCCon_12,average,articulation
34,average DMFCCon_1,average,articulation
35,average DMFCCon_2,average,articulation
36,average DMFCCon_3,average,articulation
37,average DMFCCon_4,average,articulation
38,average DMFCCon_5,average,articulation
39,average DMFCCon_6,average,articulation
40,average DMFCCon_7,average,articulation
41,average DMFCCon_8,average,articulation
42,average DMFCCon_9,average,articulation
43,average DMFCCon_10,average,articulation
44,average DMFCCon_11,average,articulation
45,average DMFCCon_12,average,articulation
46,average DDMFCCon_1,average,articulation
47,average DDMFCCon_2,average,articulation
48,average DDMFCCon_3,average,articulation
49,average DDMFCCon_4,average,articulation
50,average DDMFCCon_5,average,articulation
51,average DDMFCCon_6,average,articulation
52,average DDMFCCon_7,average,articulation
53,average DDMFCCon_8,average,articulation
54,average DDMFCCon_9,average,articulation
55,average DDMFCCon_10,average,articulation
56,average DDMFCCon_11,average,articulation
57,average DDMFCCon_12,average,articulation
116,average F1,average,articulation
117,average DF1,average,articulation
118,average DDF1,average,articulation
119,average F2,average,articulation
120,average DF2,average,articulation
121,average DDF2,average,articulation
238,std F1,std,articulation
239,std DF1,std,articulation
240,std DDF1,std,articulation
241,std F2,std,articulation
242,std DF2,std,articulation
243,std DDF2,std,articulation
