index_pos,feature_id,stat_id,category_id
30,average Evoiced,average,prosody
31,std Evoiced,std,prosody
32,skewness Evoiced,skewness,prosody
33,kurtosis Evoiced,kurtosis,prosody
34,average Evoiced Tilt,average,prosody
35,std Evoiced Tilt,std,prosody
36,skewness Evoiced Tilt,skewness,prosody
37,kurtosis Evoiced Tilt,kurtosis,prosody
38,average Evoiced MSE,average,prosody
39,std Evoiced MSE,std,prosody
40,skewness Evoiced MSE,skewness,prosody
41,kurtosis Evoiced MSE,kurtosis,prosody
54,average Eunvoiced,average,prosody
55,std Eunvoiced,std,prosody
56,skewness Eunvoiced,skewness,prosody
57,kurtosis Eunvoiced,kurtosis,prosody
58,average Eunvoiced Tilt,average,prosody
59,std Eunvoiced Tilt,std,prosody
60,skewness Eunvoiced Tilt,skewness,prosody
61,kurtosis Eunvoiced Tilt,kurtosis,prosody
62,average Eunvoiced MSE,average,prosody
63,std Eunvoiced MSE,std,prosody
64,skewness Eunvoiced MSE,skewness,prosody
65,kurtosis Eunvoiced MSE,kurtosis,prosody
