index_pos,feature_id,stat_id,category_id
0,average F0,average,prosody
1,std F0,std,prosody
2,max F0,ratio,prosody
3,min F0,ratio,prosody
4,skewness F0,skewness,prosody
5,kurtosis F0,kurtosis,prosody
6,average F0 Tilt,average,prosody
7,average F0 MSE,average,prosody
8,std F0 Tilt,std,prosody
9,std F0 MSE,std,prosody
10,max F0 Tilt,ratio,prosody
11,max F0 MSE,ratio,prosody
12,min F0 Tilt,ratio,prosody
13,min F0 MSE,ratio,prosody
14,skewness F0 Tilt,skewness,prosody
15,skewness F0 MSE,skewness,prosody
16,kurtosis F0 Tilt,kurtosis,prosody
17,kurtosis F0 MSE,kurtosis,prosody
