index_pos,feature_id,stat_id,category_id
78,Vrate,ratio,prosody
79,average durvoiced,average,prosody
80,std durvoiced,std,prosody
81,skewness durvoiced,skewness,prosody
82,kurtosis durvoiced,kurtosis,prosody
83,max durvoiced,ratio,prosody
84,min durvoiced,ratio,prosody
85,average durunvoiced,average,prosody
86,std durunvoiced,std,prosody
87,skewness durunvoiced,skewness,prosody
88,kurtosis durunvoiced,kurtosis,prosody
89,max durunvoiced,ratio,prosody
90,min durunvoiced,ratio,prosody
91,average durpause,average,prosody
92,std durpause,std,prosody
93,skewness durpause,skewness,prosody
94,kurtosis durpause,kurtosis,prosody
95,max durpause,ratio,prosody
96,min durpause,ratio,prosody
97,PVU,ratio,prosody
98,PU,ratio,prosody
99,UVU,ratio,prosody
100,VVU,ratio,prosody
101,VP,ratio,prosody
102,UP,ratio,prosody
