index_pos,feature_id,stat_id,category_id
2,average Jitter,average,phonation
3,average Shimmer,average,phonation
4,average APQ,average,phonation
5,average PPQ,average,phonation
9,std Jitter,std,phonation
10,std Shimmer,std,phonation
11,std APQ,std,phonation
12,std PPQ,std,phonation
16,skewness Jitter,skewness,phonation
17,skewness Shimmer,skewness,phonation
18,skewness APQ,skewness,phonation
19,skewness PPQ,skewness,phonation
23,kurtosis Jitter,kurtosis,phonation
24,kurtosis Shimmer,kurtosis,phonation
25,kurtosis APQ,kurtosis,phonation
26,kurtosis PPQ,kurtosis,phonation
0,global average var GCI,average,glottal
1,global average avg NAQ,average,glottal
2,global average std NAQ,average,glottal
3,global average avg QOQ,average,glottal
4,global average std QOQ,average,glottal
5,global average avg H1H2,average,glottal
6,global average std H1H2,average,glottal
7,global average avg HRF,average,glottal
8,global average std HRF,average,glottal
9,global std var GCI,std,glottal
10,global std avg NAQ,std,glottal
11,global std std NAQ,std,glottal
12,global std avg QOQ,std,glottal
13,global std std QOQ,std,glottal
14,global std avg H1H2,std,glottal
15,global std std H1H2,std,glottal
16,global std avg HRF,std,glottal
17,global std std HRF,std,glottal
